objectid;nom;raison_sociale;type_reg;categorie;code_noga;branche;activite_detail;adresse;npa;localite;commune;telephone_principal_reg;telephone_secondaire_reg;telephone_site;telephone_final;telephone_source;email_reg;email_site;email_final;email_source;site_internet;site_normalise;scrape_status;pages_verifiees;fax;taille;type_local;complement_localisation;id_etablissement;id_entreprise;num_ide;latitude;longitude;source_principale;date_collecte
79646;A TOUTES SAVEURS SARL;A TOUTES SAVEURS SARL;Entreprise;Restaurant/cafe/snack/tea-room;561001;"Restaurants, cafés, snack-bar, tea-rooms et salons de dégustation de glaces";;Rue du Vieux-Four 53;1288;Aire-la-Ville;Aire-la-Ville;+41227577150;;;+41227577150;REG principal;contact@cafedulevant.ch;;contact@cafedulevant.ch;REG;http://www.cafedulevant.ch;http://www.cafedulevant.ch/;non necessaire;;+41227577151;6-9 travailleurs;;;;1-4XH-67847;CHE220042741;46.19123211411249;6.043143423777301;SITG REG + site web public si disponible;2026-05-26
13135;CABANE THAÏ HUTIN;CABANE THAÏ HUTIN;Etablissement;Restaurant/cafe/snack/tea-room;561001;"Restaurants, cafés, snack-bar, tea-rooms et salons de dégustation de glaces";;Chemin du Pré-Guillot 4;1288;Aire-la-Ville;Aire-la-Ville;+41797116954;;;+41797116954;REG principal;;;;non trouve;;;site absent;;;1-2 travailleurs;Hôtel/restaurant/bar/dancing;;1-3U6RWV;1-5I8P0Y;;46.190396785018756;6.044592651721588;SITG REG + site web public si disponible;2026-05-26
95871;CABANE THAÏ HUTIN;CABANE THAÏ HUTIN;Entreprise;Restaurant/cafe/snack/tea-room;561001;"Restaurants, cafés, snack-bar, tea-rooms et salons de dégustation de glaces";;Chemin du Pré-Guillot 4;1288;Aire-la-Ville;Aire-la-Ville;;;;;non trouve;;;;non trouve;;;site absent;;;1-2 travailleurs;;;;1-5I8P0Y;CHE263042703;46.190396785018756;6.044592651721588;SITG REG + site web public si disponible;2026-05-26
28285;Café du Levant;Café du Levant;Etablissement;Restaurant/cafe/snack/tea-room;561001;"Restaurants, cafés, snack-bar, tea-rooms et salons de dégustation de glaces";Cuisine française;Rue du Vieux-Four 53;1288;Aire-la-Ville;Aire-la-Ville;+41227577150;;;+41227577150;REG principal;contact@cafedulevant.ch;;contact@cafedulevant.ch;REG;http://www.cafedulevant.ch;http://www.cafedulevant.ch/;non necessaire;;+41227577151;6-9 travailleurs;Hôtel/restaurant/bar/dancing;;1-4XH-67939;1-4XH-67847;;46.19123211411249;6.043143423777301;SITG REG + site web public si disponible;2026-05-26
99181;Café du Pavillon Aurélie et Julien Christin SNC;Café du Pavillon Aurélie et Julien Christin SNC;Entreprise;Restaurant/cafe/snack/tea-room;561001;"Restaurants, cafés, snack-bar, tea-rooms et salons de dégustation de glaces";;Rue du Vieux-Four 63;1288;Aire-la-Ville;Aire-la-Ville;+41227571238;;;+41227571238;REG principal;;;;non trouve;;;site absent;;;;;;;1-ZEBTR;CHE269690444;46.191650381017304;6.0433852369172865;SITG REG + site web public si disponible;2026-05-26
78795;CRISVAL Sàrl;CRISVAL Sàrl;Entreprise;Restaurant/cafe/snack/tea-room;561001;"Restaurants, cafés, snack-bar, tea-rooms et salons de dégustation de glaces";;Rue du Vieux-Four 35;1288;Aire-la-Ville;Aire-la-Ville;+41223414054;;;+41223414054;REG principal;;;;non trouve;;;site absent;;;6-9 travailleurs;;;;1-4XH-64277;CHE360339633;46.190299869698535;6.042920632038376;SITG REG + site web public si disponible;2026-05-26
56556;Suree Hutin;Suree Hutin;Entreprise;Restaurant/cafe/snack/tea-room;561001;"Restaurants, cafés, snack-bar, tea-rooms et salons de dégustation de glaces";;Chemin du Pré-Guillot 4;1288;Aire-la-Ville;Aire-la-Ville;;;;;non trouve;;;;non trouve;;;site absent;;;;;;;1-46U1SP;CHE476932062;46.190396785018756;6.044592651721588;SITG REG + site web public si disponible;2026-05-26
91202;117 Sàrl;117 Sàrl;Entreprise;Restaurant/cafe/snack/tea-room;561001;"Restaurants, cafés, snack-bar, tea-rooms et salons de dégustation de glaces";;Chemin de Bézaley 25A;1247;Anières;Anières;;;;;non trouve;;;;non trouve;;;site absent;;;1-2 travailleurs;;;;1-55MZGU;CHE463138959;46.277849722850625;6.226138596842619;SITG REG + site web public si disponible;2026-05-26
71813;ALC AUBERGE LE COTTAGE SARL;ALC AUBERGE LE COTTAGE SARL;Entreprise;Gestion restauration;561003;Administration et gestion d'établissements de restauration;;Rue Centrale 38;1247;Anières;Anières;+41227511617;;;+41227511617;REG principal;info@lecottage.ch;;info@lecottage.ch;REG;http://www.lecottage.ch;http://www.lecottage.ch/;non necessaire;;+41227511761;10-19 travailleurs;;;;1-4XH-39877;CHE406126713;46.275830717909756;6.225057160530693;SITG REG + site web public si disponible;2026-05-26
45888;APE and co Sàrl;APE and co Sàrl;Entreprise;Restaurant/cafe/snack/tea-room;561001;"Restaurants, cafés, snack-bar, tea-rooms et salons de dégustation de glaces";;Chemin des Hutins 47;1247;Anières;Anières;;;;;non trouve;;;;non trouve;;;site absent;;;;;;;1-18X728;CHE276503553;46.28549551883317;6.2328131512694025;SITG REG + site web public si disponible;2026-05-26
22796;Auberge Le Cottage;Auberge Le Cottage;Etablissement;Restaurant/cafe/snack/tea-room;561001;"Restaurants, cafés, snack-bar, tea-rooms et salons de dégustation de glaces";;Rue Centrale 38;1247;Anières;Anières;+41227511617;;;+41227511617;REG principal;info@lecottage.ch;;info@lecottage.ch;REG;http://www.lecottage.ch;http://www.lecottage.ch/;non necessaire;;+41227511761;10-19 travailleurs;Hôtel/restaurant/bar/dancing;;1-4XH-40020;1-4XH-39877;;46.275830717909756;6.225057160530693;SITG REG + site web public si disponible;2026-05-26
